gsc_impressions,gsc_avg_position,gsc_clicks,reason_code,reason_description,action_rank,content_archetype,operational_workflow,decay_half_life_days,refresh_trigger
4071,32.91844755588308,9,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,250,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
4068,4.428466076696165,8,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,251,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
4055,32.05425400739827,4,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,252,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
4055,2.892478421701603,0,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,253,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
4049,2.1921462089404793,0,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,254,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
4042,3.839683325086591,8,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,255,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
4040,28.118316831683167,1,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,256,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
4037,3.5632895714639585,47,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,257,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
4036,2.8778493557978195,22,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,258,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
4034,2.690133862171542,11,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,259,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
4031,3.2741255271644754,19,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,260,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
4028,34.156156901688185,0,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,261,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
4027,6.751427861931959,0,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,262,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
4027,3.8743481499875836,14,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,263,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
4022,4.959970164097464,12,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,264,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
4020,2.450995024875622,54,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,265,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
4017,6.120736868309684,11,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,266,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
4014,6.480318883906328,6,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,267,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
4014,38.25460886895864,1,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,268,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
4000,4.13975,12,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,269,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
3996,1.7202202202202201,40,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,270,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
3990,4.233583959899749,3,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,271,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
3989,31.983454499874654,0,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,272,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
3988,2.97592778335005,54,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,273,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
3984,2.3669678714859437,5,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,274,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
3980,51.405527638190954,0,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,275,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
3970,3.0574307304785893,30,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,276,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
3969,38.722348198538675,0,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,277,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
3966,6.538325769036813,9,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,278,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
3958,5.894138453764527,6,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,279,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
3956,3.5819009100101113,12,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,280,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
3956,1.6673407482305358,5,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,281,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
3953,26.537566405261828,3,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,282,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
3952,4.189777327935222,11,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,283,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
3942,6.649416539827499,34,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,284,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
3941,2.957117482872367,42,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,285,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
3937,3.0965201930403863,39,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,286,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
3932,3.3189216683621567,32,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,287,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
3931,3.0508776392775374,11,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,288,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
3925,27.064968152866243,14,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,289,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
3923,2.8661738465460105,16,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,290,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
3918,3.3363961204696273,22,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,291,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
3915,3.7752234993614304,0,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,292,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
3914,4.000255493101686,16,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,293,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
3913,4.574750830564784,22,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,294,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
3909,6.402660526989,27,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,295,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
3902,3.1476166068682727,12,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,296,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
3902,24.276268580215273,18,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,297,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
3900,3.8817948717948716,4,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,298,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
3892,3.016957862281603,10,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,299,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
3889,3.938544613011057,7,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,300,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
3888,2.0465534979423867,8,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,301,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
3883,4.674220963172805,7,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,302,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
3882,2.1913961875322,0,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,303,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
3873,42.87193390136845,2,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,304,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
3864,9.343944099378882,0,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,305,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
3863,9.654154801967383,0,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,306,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
3853,15.705683882688813,6,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,307,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
3846,27.945397815912635,4,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,308,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
3842,3.642113482561166,30,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,309,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
3834,0.9259259259259259,0,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,310,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
3828,32.59090909090909,0,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,311,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
3826,4.4330893883951905,9,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,312,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
3824,3.0742677824267783,26,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,313,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
3822,2.532182103610675,0,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,314,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
3816,2.963574423480084,40,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,315,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
3815,4.210747051114024,6,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,316,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
3815,6.314023591087811,8,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,317,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
3812,3.3809024134312695,8,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,318,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
3812,2.561909758656873,3,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,319,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
3808,3.89390756302521,16,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,320,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
3799,32.06975519873651,2,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,321,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
3797,4.088227548064261,1,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,322,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
3781,5.773340386141233,0,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,323,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
3780,5.548148148148148,10,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,324,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
3777,2.4204395022504634,3,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,325,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
3777,3.4164680963727827,18,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,326,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
3774,2.9674085850556438,34,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,327,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
3774,4.675145733969264,29,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,328,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
3767,39.534642951951156,1,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,329,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
3754,0.13851891315929676,0,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,330,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
3753,35.54729549693578,1,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,331,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
3748,2.2478655282817503,21,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,332,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
3748,4.479188900747065,29,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,333,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
3740,2.9288770053475934,77,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,334,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
3737,28.991704575862993,2,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,335,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
3736,4.280781584582441,5,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,336,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
3728,2.941791845493562,23,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,337,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
3727,2.7464448618191577,35,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,338,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
3727,5.634558626240945,1,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,339,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
3726,4.17686527106817,10,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,340,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
3720,30.06478494623656,2,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,341,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
3712,3.2516163793103448,12,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,342,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
3712,3.9445043103448274,31,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,343,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
3710,2.7463611859838273,2,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,344,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
3706,3.7601187263896385,16,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,345,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
3699,25.773452284401188,1,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,346,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
3698,3.3334234721471065,56,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,347,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
3695,33.95426251691475,0,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,348,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
3695,29.560757780784844,2,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,349,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
3695,2.479296346414073,15,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,350,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
3694,3.8846778559826745,3,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,351,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
3677,1.4321457710089747,12,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,352,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
3675,3.6745578231292515,41,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,353,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
3674,30.497822536744692,1,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,354,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
3671,0.8199400708253882,15,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,355,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
3668,36.13086150490731,1,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,356,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
3660,4.535792349726776,8,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,357,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
3656,3.322757111597374,19,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,358,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
3654,17.734263820470716,4,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,359,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
3652,3.1319824753559695,12,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,360,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
3651,44.445357436318815,0,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,361,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
3650,4.592328767123288,6,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,362,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
3650,4.152054794520548,7,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,363,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
3649,3.518224171005755,5,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,364,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
3649,3.1567552754179227,23,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,365,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
3643,2.3433982981059565,34,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,366,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
3643,0.944002195992314,3,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,367,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
3641,46.93792914034606,8,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,368,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
3637,3.8372284850151224,5,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,369,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
3635,3.991471801925722,26,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,370,Transactional Landing,Immediate metadata refresh and keyword density check,45,Traffic drop > 20% over 14 days or decay score > 0.6
3633,7.170382603908616,1,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,371,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
3629,4.539267015706806,3,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,372,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
3622,3.2272225289895085,5,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,373,Commercial Comparison,Conversion rate optimization and fresh data audit,45,Traffic drop > 20% over 14 days or decay score > 0.6
3614,7.062811289429995,31,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,374,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
3613,3.2969831165236645,19,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,375,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
3613,3.986991419872682,38,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,376,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
3609,23.61235799390413,3,HIGH_POTENTIAL_STALE,Moderate visibility with low positioning; content refresh recommended.,377,News/Trend Tracker,Automated brief generation followed by rapid human sign-off,45,Traffic drop > 20% over 14 days or decay score > 0.6
3606,8.038546866333888,2,TOP_TIER_OPTIMIZE,Strong visibility and positioning; apply minor editorial polish.,378,Informational Pillar,Deep structural expansion and internal link reinforcement,45,Traffic drop > 20% over 14 days or decay score > 0.6
